マクドナルドイオンモール札幌苗穂店	(43.0792737, 141.4046478)
ツルハドラッグ東雁来店	(43.0964489, 141.42929)
ラーメン山岡家東雁来店	(43.0915666, 141.41863)
札幌方面東警察署 札苗交番	(43.0973741, 141.4153255)
北洋銀行札苗支店	(43.0931923, 141.4114102)
ラベンダー歯科	(43.0993513, 141.4097398)
札幌東苗穂郵便局	(43.0970606, 141.4149893)
しんたて耳鼻咽喉科	(43.0924444, 141.4109168)
いがらし薬局	(43.0923855, 141.4108595)
ユーこどもクリニック	(43.0933604, 141.4115257)
タイムズカーレンタルタイムズステーション札幌駅前店	(43.0659862, 141.3472557)
クラーク病院	(43.079931, 141.3900292)
丸紅エネルギー	(43.0882414, 141.4137168)
ガスト札幌栄町店	(43.1212276, 141.3543496)
札幌心臓血管クリニック	(43.1227051, 141.3654488)
北海道神宮頓宮	(43.0599769, 141.3614254)
札幌わかくさ幼稚園	(43.0126843, 141.3483733)
NTT東日本札幌病院	(43.0558424, 141.3344281)
豊水総合メディカルクリニック	(43.0526824, 141.3561588)
札幌外科記念病院	(43.0273988, 141.3379402)
川西内科胃腸科病院	(43.0449707, 141.3474346)
札幌南一条病院	(43.0566949, 141.3377528)
北海道循環器病院	(43.0236714, 141.342567)
札幌市長生園	(43.0577912, 141.3281687)
中の島保育所	(43.0227128, 141.3578541)
札幌市中央消防署	(43.0547798, 141.3426573)
札幌宮の森郵便局	(43.0574211, 141.3031818)
札幌南二十七条郵便局	(43.0229743, 141.3455656)
札幌北五条中郵便局	(43.0669952, 141.3469497)
中の島南郵便局	(43.0265813, 141.3578709)
札幌市南区 藻岩下まちづくりセンター	(43.012979, 141.3490271)
北海道銀行札幌駅北口支店	(43.0702723, 141.3514498)
北海道銀行北二十四条支店	(43.0901947, 141.3448404)
北海道銀行新川中央支店	(43.1026913, 141.310959)
北海道銀行麻生支店	(43.109615, 141.3380023)
アダージョ	(43.0444608, 141.2991069)
純喫茶オリンピア	(43.0652317, 141.347024)
ドトールコーヒーショップ北海道庁店	(43.0646819, 141.3466597)
アトリエ・モリヒコ	(43.0574533, 141.3393997)
海へ	(43.0662208, 141.348192)
サツドラ北栄店	(43.095349, 141.3489934)
