札幌市東区体育館	(43.0975199, 141.3685949)
真駒内セキスイハイムアイスアリーナ	(42.9993975, 141.3473833)
真駒内セキスイハイムスタジアム	(42.9962785, 141.3430221)
札幌市南区体育館	(42.9952465, 141.3333555)
サッポロオリンピアボウル	(43.0658722, 141.3768902)
イトマンスイミングスクール札幌麻生校	(43.1054247, 141.332829)
中島公園庭球場	(43.0397167, 141.3547173)
平岸プール	(43.0248527, 141.3772349)
コナミスポーツクラブもいわ	(42.9994139, 141.3384452)
ルネサンス札幌平岸	(43.0294774, 141.3680033)
豊平公園温水プール	(43.0421942, 141.3800935)
パチンコひまわり豊平店	(43.0474793, 141.378095)
パチンコひまわりファイターズ通り店	(43.0748599, 141.3658037)
スウィング89	(43.0733806, 141.3677295)
ダンロップスポーツクラブ札幌店	(43.0732023, 141.3685476)
ライジング苗穂	(43.0746414, 141.3791369)
ラウンドワンスタジアム  札幌北21条店	(43.0867379, 141.3498132)
ホリデイスポーツクラブ札幌北24条店	(43.0913681, 141.3489657)
JSSあゆみスイミングスクール札幌	(43.0886331, 141.3985091)
コナミスポーツクラブ白石	(43.0469291, 141.397954)
スポーツクラブ ジップZip麻生	(43.1119175, 141.3376616)
Fitness24南8電車通店	(43.0496913, 141.3498833)
ジョイフィット札幌北	(43.1398955, 141.3491845)
サンシャインスポーツクラブ	(43.0579089, 141.3593042)
山の手ゴルフセンター	(43.0614325, 141.3018507)
Fitness24南4石山通店	(43.0539873, 141.3424717)
Fitness24南郷7丁目店	(43.0404631, 141.4113834)
レッドコード・フィットネス シャキット！	(43.04554, 141.3476122)
FIT-WORLD	(43.0276536, 141.4302219)
札幌市北区体育館	(43.1126899, 141.3339559)
ジムスタイル24琴似	(43.077697, 141.3053384)
手稲区体育館	(43.1266101, 141.2394104)
chocoZAPchocoZAP 平岸一条	(43.0398194, 141.3631118)
chocoZAPchocoZAP 中島公園	(43.0454679, 141.3568665)
