ザ・ビッグ東雁来店	(43.0968887, 141.4295107)
マックハウス東雁来店	(43.0962297, 141.4290947)
セリア東雁来店	(43.0960253, 141.4289095)
北海道三菱自動車販売東店	(43.0942946, 141.4019369)
文教堂新道店	(43.0936737, 141.4012963)
ローソン札幌北5条西六丁目店	(43.0667619, 141.3469752)
ローソン札幌北4条西四丁目店	(43.0659056, 141.3492754)
セイコーマート北3条店	(43.0658618, 141.3550123)
ディーシーエム光星店	(43.0737314, 141.3617879)
セブン-イレブン札幌北37条東店	(43.103974, 141.3898427)
文教堂北49条店	(43.1204912, 141.3545187)
ディーシーエム篠路店	(43.1411618, 141.3497446)
セブン-イレブン札幌大通西13丁目店	(43.0580311, 141.33783)
コーチャンフォー新川通り店	(43.1150255, 141.2913414)
マックスバリュ北野店	(43.0223785, 141.4421377)
東光ストア円山店	(43.0585663, 141.3204774)
セブン-イレブン札幌東茨戸店	(43.1654457, 141.3531994)
セブン-イレブン札幌北7条西5店	(43.068958, 141.3480548)
セブン-イレブン北11条店	(43.0751757, 141.352977)
セブン-イレブン札幌北12条店	(43.0755385, 141.3469511)
セブン-イレブン札幌北35条店	(43.1025877, 141.3400935)
セブン-イレブン札幌北37条店	(43.1057788, 141.3369956)
セブン-イレブン札幌新琴似7条店	(43.1246124, 141.3087546)
ファミリーマート札幌駅北口店	(43.0691404, 141.3496548)
ファミリーマート札幌麻生4丁目店	(43.1105624, 141.338687)
ローソン札幌大通西店	(43.0579138, 141.336798)
セブン-イレブン札幌南1条西11丁目	(43.0572593, 141.3410439)
セブン-イレブン札幌北5条西6店	(43.0667876, 141.3459181)
東光ストア北栄店	(43.0955585, 141.3494679)
ディーシーエム北栄店	(43.1200662, 141.3528947)
JR生鮮市場北10条店	(43.0746993, 141.3615355)
ゲオ札幌光星店	(43.0747106, 141.3605909)
オートバックス環状通・光星店	(43.0795014, 141.363184)
ローソン札幌大通西十丁目店	(43.0584557, 141.3414924)
ヤマダ電機テックランド札幌北33条店	(43.0998135, 141.3393801)
ディーシーエム平岡店	(43.0101231, 141.4720296)
イオン札幌藻岩店	(42.9994053, 141.3365527)
イオン札幌桑園店	(43.0692659, 141.3335361)
イオン札幌琴似店	(43.0767255, 141.3029815)
マックスバリュ琴似店	(43.0769272, 141.3035946)
東光ストア宮の森店	(43.0619939, 141.3126991)
東光ストアサッポロファクトリー店	(43.0639025, 141.3622932)
東光ストア行啓通店	(43.0416413, 141.3462349)
ディナーベルススキノ南7条店	(43.0517165, 141.3498102)
ディナーベル北大前店	(43.0799514, 141.345181)
東光ストア美香保店	(43.0927998, 141.360397)
東光ストア麻生店	(43.1084547, 141.3390057)
東光ストア自衛隊駅前店	(43.0084206, 141.364372)
東光ストア真駒内店	(42.9905461, 141.3543754)
イオン札幌麻生店	(43.1072357, 141.3397278)
マックスバリュマルヤマクラス店	(43.0548406, 141.3174788)
イオン札幌元町店	(43.1019149, 141.3681199)
まいばすけっと北5条西22丁目店	(43.0630925, 141.3219155)
セブン-イレブン札幌大通東3店	(43.062475, 141.3604049)
マックスバリュ澄川店	(43.0164969, 141.3668598)
ビッグハウスエクストラ店	(43.0144819, 141.3582468)
東急百貨店札幌店	(43.066459, 141.3530509)
ローソン札幌北3条西店	(43.0655092, 141.3518003)
札幌トヨタ札幌支店	(43.0679258, 141.3566556)
ローソン札幌南大通西九丁目店	(43.0589209, 141.3442238)
ローソン札幌南1条西六丁目店	(43.0587393, 141.349091)
ローソン札幌北1条西一丁目店	(43.062079, 141.3552148)
ローソン札幌北1条西三丁目店	(43.0629901, 141.3517762)
ローソンポスタルローソン道庁赤れんが前店	(43.063239, 141.3502178)
ローソン札幌北1条店	(43.0614714, 141.3458726)
ローソン札幌北6条西四丁目店	(43.0686707, 141.3486325)
ローソン札幌北1条西二丁目店	(43.0634795, 141.3543894)
ローソン札幌北7条西六丁目店	(43.0695878, 141.3463742)
ローソン札幌北8条西店	(43.0709816, 141.3496403)
ローソン札幌駅北口前店	(43.0694714, 141.351764)
ローソン札幌北7条西一丁目店	(43.0697467, 141.3534928)
ローソン札幌ステーションタワー店	(43.0704814, 141.3506362)
セブン-イレブン札幌北6条西1丁目店	(43.0692848, 141.3533864)
ローソン北海道庁別館店	(43.0644237, 141.3460314)
セブン-イレブン札幌北1西4店	(43.062481, 141.35128)
セブン-イレブン札幌北3条店	(43.0647343, 141.3528839)
セブン-イレブン札幌大通西7丁目店	(43.059306, 141.347289)
セブン-イレブン札幌北1条西5丁目店	(43.0615753, 141.3498852)
セブン-イレブン札幌大通西9丁目店	(43.0597861, 141.3428417)
ファミリーマート札幌北1条西店	(43.0608071, 141.3413772)
ファミリーマート	(43.0676129, 141.3468993)
ファミリーマート札幌国際ビル店	(43.0659881, 141.3504173)
ファミリーマート札幌北1条西6丁目店	(43.0619473, 141.3482147)
ファミリーマート札幌北1条西7丁目店	(43.062298, 141.3462377)
ファミリーマート札幌大通西7丁目店	(43.0602506, 141.345878)
ファミリーマート札幌北2条西3丁目店	(43.0635056, 141.3527015)
ローソン札幌創成橋店	(43.0594421, 141.3570999)
ジュンク堂書店札幌店	(43.0591785, 141.3559889)
ブックオフ札幌南2条店	(43.0585092, 141.3560868)
ローソン札幌南2条西三丁目店	(43.0584297, 141.3540671)
セイコーマート北9条店	(43.0716453, 141.3507115)
セイコーマートつぼた店	(43.0701156, 141.3478226)
セイコーマート北海道庁店	(43.0644919, 141.3466425)
セイコーマート道庁前北店	(43.0652016, 141.346922)
セイコーマートニッセイ札幌ビル店	(43.0646385, 141.3497592)
セイコーマート北2条店	(43.0646933, 141.3553874)
セイコーマート大通ビッセ店	(43.0616387, 141.3524414)
セイコーマート中央店	(43.0580407, 141.3441828)
セブン-イレブン札幌南2西9店	(43.0569084, 141.3446553)
ファミリーマート札幌北9条西2丁目店	(43.0725607, 141.3508859)
セイコーマート北10条店	(43.0731229, 141.3523229)
ファミリーマート札幌狸小路1丁目店	(43.0578072, 141.356242)
ローソン札幌南3条西二丁目店	(43.0571028, 141.3550038)
セブン-イレブン札幌狸小路3丁目店	(43.0573655, 141.3543664)
ファミリーマート札幌狸小路6丁目店	(43.0569105, 141.3494918)
セブン-イレブン札幌南3条西6丁目店	(43.0564505, 141.3496925)
ファミリーマート札幌南2条西7丁目店	(43.0569865, 141.3475212)
セイコーマートあさの店	(43.0557871, 141.3522918)
ファミリーマート札幌南４条西５丁目店	(43.0556846, 141.3515012)
まいばすけっと北2条西14丁目店	(43.0611688, 141.335599)
北海道日産中央店	(43.066223, 141.3620897)
トヨタカローラ札幌北二条店	(43.0651404, 141.3589987)
札幌日産中央店	(43.0629179, 141.3595137)
セイコーマート大通バスセンター店	(43.0605514, 141.3576188)
セイコーマートなかやま南1条店	(43.0607504, 141.3641057)
フォード北海道札幌本店	(43.0604907, 141.3619559)
ローソン札幌南1条東六丁目店	(43.061781, 141.3654512)
セブン-イレブン札幌南2東2店	(43.0597426, 141.359608)
ローソン札幌南3東三丁目店	(43.058708, 141.3606253)
ローソン札幌南4条東一丁目店	(43.0566503, 141.3587348)
ファミリーマート札幌南4条東2丁目店	(43.0574815, 141.3600594)
セブン-イレブン札幌南4条東店	(43.0578101, 141.3623459)
北海道マツダ販売札幌苗穂店	(43.0679149, 141.3783492)
紀伊國屋書店札幌本店	(43.0673319, 141.3482661)
ローソン札幌西十五丁目店	(43.0574846, 141.3336666)
セブン-イレブン南7条店	(43.0508558, 141.3418843)
ローソン札幌南7条西店	(43.050293, 141.338807)
セイコーマート南9条	(43.0488981, 141.3521192)
セイコーマート山鼻9条店	(43.0484318, 141.3501356)
ローソン札幌中島パーク店	(43.0490334, 141.3551957)
ファミリーマート北海道大学前店	(43.0743177, 141.3472726)
セブン-イレブン札幌医大前店	(43.0567221, 141.3323645)
札幌日産本店	(43.0570436, 141.3316256)
セイコーマート大通店	(43.056676, 141.3301704)
ローソン札幌大通西十九丁目店	(43.0568133, 141.328671)
ファミリーマート札幌常盤3条店	(42.9442079, 141.3458054)
コープさっぽろ西岡店	(43.0118199, 141.3741949)
ゲオ札幌豊平店	(43.0456679, 141.3716763)
しまむら豊平店	(43.0459879, 141.3715202)
ファミリーマート北海学園前店	(43.0458835, 141.3696831)
ローソン札幌豊平3条十丁目店	(43.0477809, 141.3776895)
セイコーマートしばはら店	(42.9368175, 141.3426568)
ソニーストア	(43.0593018, 141.3535725)
エイチ&エムSAPPORO	(43.0589619, 141.3538764)
六花亭真駒内六花亭ホール店	(42.9970789, 141.3496662)
セイコーマートテルウェル店	(43.0633285, 141.3306812)
マカリイズマーケット カジュアルオーガニック	(43.0347352, 141.3342911)
中川米穀	(43.0437367, 141.336196)
セカンドストリート札幌光星店	(43.0747493, 141.3609094)
ファミリーマート札幌南7条西3丁目店	(43.0519913, 141.3556741)
セイコーマートながい店	(43.0452074, 141.3568579)
セイコーマート南8条店	(43.05109, 141.3542604)
セブン-イレブン札幌南円山店	(43.0528554, 141.3215667)
セブン-イレブン札幌円山公園駅店	(43.0559254, 141.319674)
ファミリーマート札幌南8条西18丁目店	(43.0478478, 141.3289623)
ローソン札幌南9条西八丁目店	(43.048415, 141.3462692)
ローソン札幌北1条東一丁目店	(43.063001, 141.35716)
セイコーマート地下鉄北12条駅前店	(43.0752097, 141.3482015)
ソフトバンクショップソフトバンク札幌新川	(43.0873579, 141.3279016)
セイコーマートはまざき店	(43.0504804, 141.2985338)
ビックカメラ札幌店	(43.0664226, 141.3529375)
デュオ-1	(43.0389323, 141.47254)
デュオ-2	(43.0385481, 141.4725722)
ローソン札幌北5条西十九丁目店	(43.0637749, 141.3268301)
ICI石井スポーツ札幌店	(43.0718418, 141.3306142)
