東横イン札幌駅南口	(43.065528, 141.3547205)
札幌市資料館	(43.0585319, 141.3374679)
渡辺淳一文学館	(43.0444572, 141.3512683)
札幌パークホテル	(43.0476141, 141.3560695)
ホテルマイステイズプレミア札幌パーク	(43.0495311, 141.3569474)
札幌 東急REIホテル	(43.0549786, 141.351061)
札幌市水道記念館	(43.0330672, 141.3286403)
ソラリア西鉄ホテル札幌	(43.0654877, 141.3486019)
ホテルグレイスリー札幌	(43.0663, 141.3494414)
京王プラザホテル札幌	(43.0664333, 141.3449756)
ANAクラウンプラザホテル札幌	(43.0657317, 141.3552727)
リッチモンドホテル札幌駅前	(43.0650714, 141.3545859)
ホテルパールシティ札幌	(43.0652829, 141.3528264)
R&Bホテル札幌北3西2	(43.0648382, 141.3529271)
ホテル ルートイン 札幌駅前北口	(43.0692469, 141.3492214)
東横INN札幌駅北口	(43.0694469, 141.3540862)
ホテルサンルート札幌	(43.0705302, 141.3535614)
JRイン札幌	(43.0672738, 141.3466968)
三井ガーデンホテル札幌	(43.0665597, 141.347007)
札幌ビューホテル 大通公園	(43.0588658, 141.3448781)
ホテルモントレエーデルホフ札幌	(43.0644021, 141.3555708)
ホテルニューオータニイン札幌	(43.0644804, 141.354837)
ネストホテル札幌駅前	(43.0640512, 141.3538354)
クロスホテル札幌	(43.0640768, 141.353366)
アパホテル<TKP札幌駅前>	(43.064407, 141.3533249)
ホテル札幌ガーデンパレス	(43.0622621, 141.3472613)
SAN GRAN HOTEL 札幌大通公園	(43.0616249, 141.3511394)
ホテルマイステイズ札幌アスペン	(43.0703872, 141.3488398)
ホテルマイステイズ札幌駅北口	(43.0708734, 141.3491153)
ホテル京阪 札幌	(43.0677377, 141.3462034)
ホテルクラビーサッポロ	(43.0650137, 141.3605322)
ホテルリソルトリニティ札幌	(43.0596234, 141.3501325)
札幌クラッセホテル	(43.057986, 141.3475939)
アパホテル <札幌大通公園>	(43.0582339, 141.3439587)
ホテルWBF札幌中央	(43.0585847, 141.3565482)
ネストホテル札幌大通	(43.0579368, 141.3502913)
アパホテル札幌	(43.0574135, 141.3469722)
ホテルリブマックス札幌駅前	(43.0676004, 141.3449986)
東横INN 札幌駅西口北大前	(43.0709942, 141.3481425)
アパホテル〈TKP札幌駅北口〉EXCELLENT	(43.0728492, 141.3499388)
ロテル・ド・ロテル	(43.0571402, 141.3548046)
リッチモンドホテル 札幌大通	(43.057449, 141.3520112)
ホテル ビスタ 札幌 [大通]	(43.056722, 141.3504227)
ドーミーインPREMIUM 札幌	(43.0570394, 141.3488972)
ホテルアベスト札幌	(43.0570708, 141.3493383)
ドーミーイン札幌ANNEX	(43.0565309, 141.349034)
ホテルラフィナート札幌	(43.0557671, 141.3446412)
ホテル ニューバジェット 札幌	(43.0558838, 141.3486262)
ホテルハシモト	(43.059216, 141.358936)
千歳鶴酒ミュージアム	(43.0591915, 141.3639544)
ホテルロンシャンサッポロ	(43.0555101, 141.3590863)
東横INN 札幌すすきの南	(43.0545852, 141.3601133)
ホテルルートイン札幌北四条	(43.064588, 141.3359148)
ホテルハミルトン札幌	(43.05683, 141.3342473)
白い恋人パーク	(43.0886903, 141.2716802)
札幌国際ユースホステル	(43.0476059, 141.3706253)
札幌市アイヌ文化交流センター	(42.9688912, 141.2197237)
湯元 小金湯	(42.9683564, 141.2198743)
まつの湯	(42.9683917, 141.2207256)
札幌ホテルヤマチ	(43.0770776, 141.3046893)
ホテルカイコー札幌中島公園	(43.0451972, 141.3573082)
ホテルビスタ札幌	(43.0484199, 141.352802)
Kita hotel	(43.0425179, 141.3568633)
ベッセルイン札幌中島公園	(43.0496424, 141.3545739)
ホテルリリーフ	(43.0508525, 141.3554721)
ホテルノースシティ	(43.0494861, 141.3576498)
ホテルライフォート札幌	(43.0470158, 141.3570744)
札幌宮の森美術館	(43.0568261, 141.3025599)
UNTAPPED HOSTEL	(43.0816792, 141.3460891)
札幌クラークホテル	(43.0760081, 141.3468653)
